kid.score,mom.hs,mom.iq,mom.work,mom.age
97,1,108.90691,4,25
85,1,100.63953,3,21
98,1,118.84027,1,23
94,1,95.51233,2,23
90,1,84.77195,2,24
72,1,100.74743,1,19
92,1,87.00345,1,26
75,0,77.85876,4,23
83,1,85.30189,4,20
64,1,92.7702,1,18
101,1,74.86073,4,25
82,1,115.24858,4,19
77,1,107.37253,4,22
101,1,102.20298,4,27
50,1,97.91159,4,20
90,1,96.85662,4,21
103,1,111.46567,2,19
96,1,109.46632,3,21
50,1,82.25001,4,24
47,1,92.7702,4,18
73,1,115.56883,2,22
62,0,84.04459,4,22
77,1,116.19932,4,22
64,1,99.29524,4,23
52,1,87.19335,2,20
61,1,76.71177,4,28
86,1,80.6986,2,26
41,0,82.46337,1,19
83,1,85.17989,4,27
64,1,93.07371,4,21
83,1,88.577,4,23
116,1,103.05601,4,24
100,0,86.87677,3,19
42,0,97.91525,4,22
74,1,120.92295,4,19
76,1,91.72942,4,23
92,1,87.50725,4,19
98,1,90.44631,4,24
96,1,84.1636,3,23
67,1,96.65428,4,22
84,1,95.70355,2,19
111,1,88.76822,4,19
41,0,92.13972,1,18
68,1,108.00301,3,22
107,1,80.38935,3,29
82,0,99.80304,4,20
89,1,90.02919,4,19
83,1,93.93878,4,26
73,1,103.70863,4,23
74,1,77.10925,4,22
94,1,117.55716,2,24
58,1,79.83353,2,21
76,1,83.61644,2,21
61,1,88.7314,4,25
38,1,82.78362,4,22
100,1,86.87677,4,19
84,1,88.7314,4,25
99,1,92.24089,4,22
86,1,90.55178,1,21
94,1,84.14147,4,24
90,1,93.07371,2,21
50,0,85.83487,2,18
112,1,98.85598,4,19
58,1,95.51233,2,23
87,1,101.06768,2,22
76,1,85.93238,1,20
68,1,82.78362,2,22
110,1,98.66476,2,23
88,0,82.14947,3,20
87,0,85.6158,1,19
54,0,79.43763,1,26
49,0,75.33682,1,23
56,1,80.89216,2,22
79,1,115.77117,3,21
82,1,97.1591,4,27
80,0,80.89216,1,22
60,1,79.50553,4,27
102,1,98.01213,4,24
87,1,108.8665,4,28
42,0,80.6986,4,26
119,1,100.74743,4,19
84,1,91.09894,4,23
86,1,82.98596,1,21
113,1,89.71529,4,20
72,1,131.01071,4,19
104,1,124.51463,4,23
94,1,91.61041,4,22
78,0,92.99039,1,23
80,0,91.88382,1,25
67,0,88.69098,1,28
104,1,126.09351,3,26
96,0,84.98531,3,19
65,0,82.98596,1,21
64,1,101.79504,3,24
95,1,100.24363,2,26
56,1,110.01348,4,23
75,0,88.577,2,23
91,1,106.74204,3,22
106,1,95.29214,2,18
76,1,108.31325,1,19
90,1,110.33139,3,26
108,1,116.8298,4,22
86,0,86.68554,1,23
85,1,96.85662,2,21
104,0,90.24826,1,18
87,1,89.29081,4,21
41,0,74.23025,1,25
106,0,91.88382,4,25
76,0,96.46072,3,26
100,0,97.40379,4,23
89,1,131.53329,4,21
42,1,78.24456,2,27
102,1,127.67572,4,29
104,1,124.51463,4,23
59,0,80.46402,4,21
93,0,74.86073,2,25
94,0,84.87741,4,21
76,1,92.99039,4,23
50,0,94.85971,2,24
88,1,96.85662,2,21
70,1,91.25334,2,25
